Timestamp,Email address,Name:,ID code:,Grade:,Module 1: First choice,Module 1: Second choice,Module 1: Third choice,Module 1: Fourth choice,Module 2: First choice,Module 2: Second choice,Module 2: Third choice,Module 2: Fourth choice,Module 3: First choice,Module 3: Second choice,Module 3: Third choice,Module 3: Fourth choice
07/03/2023 14:20:45,susanna@gmail.com,Susanna Natera,673574295,12,Group F,Group C,Group B,Group E,Group C,Group C,Group E,Group B,Group E,Group D,Group F,Group A (Gr. 12)
07/03/2023 14:20:45,michael@gmail.com,Michael Krebs,286435440,12,Group D,Group A (Gr. 12),Group E,Group B,Group B,Group B,Group D,Group A (Gr. 12),Group A (Gr. 12),Group D,Group E,Group B
07/03/2023 14:20:45,shantel@gmail.com,Shantel Woods,397736043,12,Group F,Group D,Group E,Group A (Gr. 12),Group E,Group E,Group A (Gr. 12),Group F,Group B,Group E,Group F,Group D
07/03/2023 14:20:45,judith@gmail.com,Judith Camel,639372107,12,Group B,Group E,Group C,Group D,Group E,Group E,Group C,Group D,Group A (Gr. 12),Group D,Group E,Group B
07/03/2023 14:20:45,irma@gmail.com,Irma Hawkins,276036755,12,Group E,Group D,Group A (Gr. 12),Group C,Group C,Group C,Group D,Group E,Group E,Group B,Group F,Group C
07/03/2023 14:20:45,cynthia@gmail.com,Cynthia Crain,408123616,12,Group F,Group D,Group C,Group E,Group A (Gr. 12),Group A (Gr. 12),Group C,Group D,Group F,Group B,Group E,Group D
07/03/2023 14:20:45,robert@gmail.com,Robert Husted,762930518,12,Group E,Group D,Group A (Gr. 12),Group B,Group B,Group B,Group D,Group A (Gr. 12),Group E,Group C,Group F,Group D
07/03/2023 14:20:45,ruben@gmail.com,Ruben Varrone,538339135,12,Group C,Group D,Group E,Group A (Gr. 12),Group E,Group E,Group B,Group F,Group D,Group F,Group E,Group C
07/03/2023 14:20:45,isaac@gmail.com,Isaac Kirk,996453176,12,Group D,Group B,Group A (Gr. 12),Group C,Group E,Group E,Group A (Gr. 12),Group D,Group F,Group B,Group D,Group E
07/03/2023 14:20:45,mary@gmail.com,Mary Yamada,235776245,12,Group E,Group F,Group C,Group A (Gr. 12),Group E,Group E,Group D,Group A (Gr. 12),Group B,Group C,Group A (Gr. 12),Group E
07/03/2023 14:20:45,rosalinda@gmail.com,Rosalinda Montgomery,777974103,12,Group F,Group D,Group E,Group A (Gr. 12),Group C,Group C,Group E,Group D,Group F,Group D,Group A (Gr. 12),Group E
07/03/2023 14:20:45,donna@gmail.com,Donna Dailey,252141923,12,Group F,Group C,Group B,Group D,Group C,Group C,Group D,Group A (Gr. 12),Group B,Group E,Group F,Group A (Gr. 12)
07/03/2023 14:20:45,christopher@gmail.com,Christopher Rodriguez,863310530,12,Group D,Group B,Group F,Group E,Group F,Group F,Group C,Group E,Group C,Group F,Group B,Group E
07/03/2023 14:20:45,marc@gmail.com,Marc Farmer,626146277,12,Group E,Group A (Gr. 12),Group C,Group B,Group B,Group B,Group F,Group D,Group A (Gr. 12),Group B,Group E,Group F
07/03/2023 14:20:45,beverly@gmail.com,Beverly Slaughter,709365849,12,Group E,Group C,Group A (Gr. 12),Group D,Group E,Group E,Group A (Gr. 12),Group B,Group A (Gr. 12),Group E,Group B,Group C
07/03/2023 14:20:45,maxine@gmail.com,Maxine Freeman,572056180,12,Group F,Group A (Gr. 12),Group D,Group E,Group E,Group E,Group F,Group A (Gr. 12),Group C,Group B,Group E,Group F
07/03/2023 14:20:45,erin@gmail.com,Erin Brannon,102661279,12,Group D,Group A (Gr. 12),Group B,Group F,Group C,Group C,Group B,Group D,Group B,Group D,Group F,Group E
07/03/2023 14:20:45,antonio@gmail.com,Antonio Ellenberger,623401252,12,Group D,Group E,Group A (Gr. 12),Group B,Group D,Group D,Group B,Group A (Gr. 12),Group E,Group A (Gr. 12),Group B,Group C
07/03/2023 14:20:45,rosemary@gmail.com,Rosemary Chavez,456645042,12,Group A (Gr. 12),Group E,Group B,Group C,Group F,Group F,Group C,Group A (Gr. 12),Group D,Group B,Group F,Group E
07/03/2023 14:20:45,nicholas@gmail.com,Nicholas Ortega,737622067,12,Group D,Group B,Group A (Gr. 12),Group F,Group B,Group B,Group C,Group A (Gr. 12),Group F,Group A (Gr. 12),Group E,Group B
07/03/2023 14:20:45,linda@gmail.com,Linda Rogers,687284583,12,Group F,Group D,Group B,Group E,Group E,Group E,Group D,Group A (Gr. 12),Group F,Group A (Gr. 12),Group C,Group D
07/03/2023 14:20:45,david@gmail.com,David Johnson,595403022,12,Group C,Group A (Gr. 12),Group E,Group F,Group C,Group C,Group D,Group F,Group F,Group D,Group A (Gr. 12),Group E
07/03/2023 14:20:45,sherrie@gmail.com,Sherrie Tarpley,331473260,12,Group D,Group F,Group B,Group E,Group C,Group C,Group D,Group B,Group F,Group D,Group A (Gr. 12),Group B
07/03/2023 14:20:45,rosalind@gmail.com,Rosalind Ogburn,239644213,12,Group F,Group B,Group E,Group D,Group D,Group D,Group E,Group A (Gr. 12),Group D,Group F,Group B,Group C
07/03/2023 14:20:45,deborah@gmail.com,Deborah Steele,702955346,12,Group B,Group E,Group F,Group A (Gr. 12),Group A (Gr. 12),Group A (Gr. 12),Group C,Group B,Group B,Group E,Group D,Group A (Gr. 12)
07/03/2023 14:20:45,adina@gmail.com,Adina Gust,414270781,12,Group B,Group C,Group F,Group A (Gr. 12),Group B,Group B,Group F,Group C,Group D,Group C,Group E,Group A (Gr. 12)
07/03/2023 14:20:45,charles@gmail.com,Charles Nelson,324906669,12,Group D,Group A (Gr. 12),Group F,Group E,Group D,Group D,Group C,Group A (Gr. 12),Group C,Group D,Group F,Group B
07/03/2023 14:20:45,michele@gmail.com,Michele Kneeland,460999376,12,Group D,Group C,Group F,Group B,Group C,Group C,Group D,Group F,Group E,Group A (Gr. 12),Group B,Group D
07/03/2023 14:20:45,fred@gmail.com,Fred Holsopple,366187397,12,Group F,Group E,Group B,Group D,Group E,Group E,Group F,Group D,Group E,Group A (Gr. 12),Group B,Group D
07/03/2023 14:20:45,phillip@gmail.com,Phillip Thomas,349544064,12,Group C,Group E,Group A (Gr. 12),Group F,Group D,Group D,Group C,Group E,Group F,Group C,Group D,Group B
07/03/2023 14:20:45,linda@gmail.com,Linda Bryant,980514243,12,Group A (Gr. 12),Group C,Group B,Group E,Group F,Group F,Group D,Group A (Gr. 12),Group C,Group E,Group D,Group B
07/03/2023 14:20:45,robert@gmail.com,Robert Bell,882157106,12,Group B,Group C,Group F,Group A (Gr. 12),Group B,Group B,Group F,Group C,Group D,Group E,Group C,Group F
07/03/2023 14:20:45,nigel@gmail.com,Nigel Anton,823721035,12,Group F,Group C,Group D,Group E,Group B,Group B,Group F,Group D,Group F,Group B,Group E,Group D
07/03/2023 14:20:45,james@gmail.com,James Vu,506620226,12,Group E,Group F,Group D,Group C,Group A (Gr. 12),Group A (Gr. 12),Group E,Group F,Group F,Group E,Group C,Group B
07/03/2023 14:20:45,shawn@gmail.com,Shawn Helmy,892178691,12,Group F,Group C,Group E,Group D,Group A (Gr. 12),Group A (Gr. 12),Group F,Group C,Group F,Group D,Group E,Group A (Gr. 12)
07/03/2023 14:20:45,jennifer@gmail.com,Jennifer Shackelford,758905594,12,Group A (Gr. 12),Group D,Group E,Group C,Group B,Group B,Group C,Group A (Gr. 12),Group A (Gr. 12),Group E,Group D,Group B
07/03/2023 14:20:45,elizebeth@gmail.com,Elizebeth Forehand,657604336,12,Group B,Group F,Group C,Group D,Group B,Group B,Group C,Group E,Group D,Group A (Gr. 12),Group E,Group C
07/03/2023 14:20:45,vanessa@gmail.com,Vanessa Freeman,298717229,12,Group E,Group C,Group B,Group D,Group B,Group B,Group A (Gr. 12),Group F,Group B,Group A (Gr. 12),Group F,Group E
07/03/2023 14:20:45,abe@gmail.com,Abe Dickerson,907915108,12,Group D,Group B,Group A (Gr. 12),Group F,Group F,Group F,Group B,Group E,Group A (Gr. 12),Group E,Group B,Group F
07/03/2023 14:20:45,matthew@gmail.com,Matthew Kincaid,206308916,12,Group D,Group A (Gr. 12),Group E,Group F,Group B,Group B,Group F,Group C,Group D,Group E,Group C,Group F
07/03/2023 14:20:45,carolyn@gmail.com,Carolyn Ross,216130059,12,Group D,Group C,Group E,Group B,Group F,Group F,Group D,Group A (Gr. 12),Group D,Group B,Group F,Group E
07/03/2023 14:20:45,james@gmail.com,James Heath,868583681,12,Group D,Group A (Gr. 12),Group F,Group B,Group D,Group D,Group E,Group C,Group C,Group A (Gr. 12),Group F,Group E
07/03/2023 14:20:45,fannie@gmail.com,Fannie Clower,165025991,12,Group C,Group E,Group F,Group D,Group F,Group F,Group C,Group E,Group D,Group B,Group F,Group E
07/03/2023 14:20:45,edna@gmail.com,Edna Hendricks,796395329,12,Group B,Group C,Group D,Group F,Group D,Group D,Group E,Group F,Group B,Group C,Group A (Gr. 12),Group E
07/03/2023 14:20:45,william@gmail.com,William Carrera,178978355,12,Group F,Group A (Gr. 12),Group D,Group B,Group E,Group E,Group C,Group B,Group C,Group E,Group B,Group F
07/03/2023 14:20:45,mark@gmail.com,Mark Purvis,223919328,12,Group B,Group C,Group E,Group A (Gr. 12),Group F,Group F,Group A (Gr. 12),Group D,Group D,Group A (Gr. 12),Group E,Group C
07/03/2023 14:20:45,samantha@gmail.com,Samantha Harris,259997544,12,Group C,Group F,Group D,Group A (Gr. 12),Group D,Group D,Group B,Group A (Gr. 12),Group F,Group C,Group A (Gr. 12),Group E
07/03/2023 14:20:45,celestina@gmail.com,Celestina Blake,751718509,12,Group D,Group E,Group B,Group C,Group D,Group D,Group C,Group F,Group B,Group C,Group F,Group D
07/03/2023 14:20:45,stephanie@gmail.com,Stephanie Hamm,933584385,12,Group E,Group D,Group C,Group A (Gr. 12),Group B,Group B,Group D,Group C,Group B,Group F,Group E,Group A (Gr. 12)
07/03/2023 14:20:45,matthew@gmail.com,Matthew Walker,343072893,12,Group F,Group E,Group C,Group B,Group C,Group C,Group D,Group F,Group D,Group F,Group B,Group A (Gr. 12)
07/03/2023 14:20:45,carrol@gmail.com,Carrol Franklin,547246548,12,Group D,Group B,Group C,Group A (Gr. 12),Group C,Group C,Group D,Group F,Group B,Group F,Group D,Group E
07/03/2023 14:20:45,debbie@gmail.com,Debbie Dittman,169348483,12,Group E,Group A (Gr. 12),Group F,Group D,Group D,Group D,Group E,Group A (Gr. 12),Group D,Group F,Group E,Group C
07/03/2023 14:20:45,james@gmail.com,James Ford,929137118,12,Group D,Group B,Group F,Group A (Gr. 12),Group B,Group B,Group E,Group C,Group F,Group D,Group E,Group C
07/03/2023 14:20:45,michael@gmail.com,Michael Salter,843870456,12,Group A (Gr. 12),Group C,Group D,Group E,Group A (Gr. 12),Group A (Gr. 12),Group B,Group F,Group F,Group C,Group E,Group D
07/03/2023 14:20:45,buck@gmail.com,Buck Atkins,771944185,12,Group C,Group F,Group A (Gr. 12),Group D,Group B,Group B,Group F,Group D,Group D,Group F,Group C,Group E
07/03/2023 14:20:45,charles@gmail.com,Charles Kozlowski,682962141,12,Group E,Group B,Group A (Gr. 12),Group F,Group B,Group B,Group D,Group A (Gr. 12),Group D,Group B,Group C,Group F
07/03/2023 14:20:45,sarah@gmail.com,Sarah Volkert,793013985,12,Group A (Gr. 12),Group F,Group E,Group C,Group D,Group D,Group F,Group B,Group C,Group E,Group D,Group B
07/03/2023 14:20:45,shirley@gmail.com,Shirley Doughty,143230982,12,Group A (Gr. 12),Group E,Group B,Group C,Group C,Group C,Group D,Group A (Gr. 12),Group B,Group C,Group A (Gr. 12),Group D
07/03/2023 14:20:45,george@gmail.com,George Carter,133369255,12,Group A (Gr. 12),Group C,Group E,Group D,Group F,Group F,Group E,Group B,Group E,Group C,Group F,Group B
07/03/2023 14:20:45,howard@gmail.com,Howard Donald,428921262,12,Group B,Group F,Group D,Group C,Group F,Group F,Group C,Group E,Group B,Group D,Group A (Gr. 12),Group E
07/03/2023 14:20:45,joseph@gmail.com,Joseph Alvarez,582812203,12,Group C,Group B,Group E,Group F,Group F,Group F,Group D,Group B,Group D,Group B,Group F,Group C
07/03/2023 14:20:45,zachary@gmail.com,Zachary Paulk,573205835,12,Group A (Gr. 12),Group E,Group C,Group D,Group E,Group E,Group A (Gr. 12),Group B,Group F,Group E,Group D,Group C
07/03/2023 14:20:45,sarah@gmail.com,Sarah Bodnar,320927243,12,Group D,Group C,Group A (Gr. 12),Group E,Group D,Group D,Group F,Group B,Group B,Group D,Group E,Group A (Gr. 12)
07/03/2023 14:20:45,virginia@gmail.com,Virginia Davis,469583660,12,Group A (Gr. 12),Group B,Group D,Group E,Group F,Group F,Group A (Gr. 12),Group C,Group F,Group A (Gr. 12),Group E,Group D
07/03/2023 14:20:45,gregory@gmail.com,Gregory Schneider,502220248,12,Group F,Group D,Group E,Group A (Gr. 12),Group D,Group D,Group C,Group E,Group B,Group C,Group F,Group D
07/03/2023 14:20:45,veronica@gmail.com,Veronica Grant,121572236,12,Group C,Group D,Group E,Group F,Group C,Group C,Group E,Group F,Group B,Group F,Group A (Gr. 12),Group D
07/03/2023 14:20:45,diana@gmail.com,Diana Contreras,915688021,12,Group D,Group B,Group E,Group F,Group F,Group F,Group A (Gr. 12),Group B,Group E,Group A (Gr. 12),Group F,Group C
07/03/2023 14:20:45,theresa@gmail.com,Theresa Salazar,785989365,12,Group F,Group A (Gr. 12),Group B,Group D,Group D,Group D,Group E,Group A (Gr. 12),Group B,Group F,Group A (Gr. 12),Group E
07/03/2023 14:20:45,darlene@gmail.com,Darlene Thomas,387257578,12,Group B,Group D,Group F,Group C,Group D,Group D,Group E,Group F,Group E,Group A (Gr. 12),Group B,Group C
07/03/2023 14:20:45,ramon@gmail.com,Ramon Hronick,997319405,12,Group F,Group B,Group E,Group D,Group D,Group D,Group A (Gr. 12),Group F,Group B,Group C,Group D,Group A (Gr. 12)
07/03/2023 14:20:45,daryl@gmail.com,Daryl Jackson,500081677,12,Group A (Gr. 12),Group C,Group E,Group B,Group D,Group D,Group B,Group A (Gr. 12),Group F,Group B,Group A (Gr. 12),Group C
07/03/2023 14:20:45,john@gmail.com,John Serrano,724763344,12,Group A (Gr. 12),Group C,Group F,Group E,Group B,Group B,Group F,Group C,Group D,Group C,Group F,Group A (Gr. 12)
07/03/2023 14:20:45,cathy@gmail.com,Cathy Quinones,753679533,12,Group E,Group D,Group C,Group A (Gr. 12),Group F,Group F,Group A (Gr. 12),Group C,Group E,Group C,Group F,Group B
07/03/2023 14:20:45,cythia@gmail.com,Cythia Siemens,446017925,12,Group E,Group D,Group B,Group F,Group A (Gr. 12),Group A (Gr. 12),Group F,Group C,Group B,Group C,Group A (Gr. 12),Group F
07/03/2023 14:20:45,elizabeth@gmail.com,Elizabeth Admire,686429897,12,Group A (Gr. 12),Group C,Group B,Group E,Group E,Group E,Group C,Group D,Group A (Gr. 12),Group C,Group E,Group D
07/03/2023 14:20:45,christina@gmail.com,Christina Syrett,844061798,12,Group D,Group E,Group C,Group F,Group F,Group F,Group D,Group C,Group B,Group A (Gr. 12),Group F,Group E
07/03/2023 14:20:45,marc@gmail.com,Marc Terrell,690546274,12,Group A (Gr. 12),Group D,Group B,Group E,Group D,Group D,Group C,Group E,Group C,Group F,Group E,Group A (Gr. 12)
07/03/2023 14:20:45,german@gmail.com,German Martinez,263988479,12,Group A (Gr. 12),Group E,Group F,Group D,Group F,Group F,Group E,Group C,Group B,Group A (Gr. 12),Group F,Group C
07/03/2023 14:20:45,laurie@gmail.com,Laurie Tucker,773470593,12,Group F,Group C,Group D,Group E,Group F,Group F,Group D,Group A (Gr. 12),Group C,Group F,Group E,Group A (Gr. 12)
07/03/2023 14:20:45,peter@gmail.com,Peter Barraclough,319238474,12,Group D,Group C,Group F,Group A (Gr. 12),Group E,Group E,Group B,Group C,Group F,Group B,Group D,Group C
07/03/2023 14:20:45,rebecca@gmail.com,Rebecca Campbell,390165153,12,Group C,Group F,Group D,Group B,Group C,Group C,Group F,Group E,Group E,Group B,Group C,Group A (Gr. 12)
07/03/2023 14:20:45,richard@gmail.com,Richard Smith,188548634,12,Group E,Group F,Group B,Group C,Group D,Group D,Group A (Gr. 12),Group C,Group E,Group A (Gr. 12),Group B,Group D
07/03/2023 14:20:45,james@gmail.com,James Meehan,339335413,12,Group F,Group C,Group B,Group D,Group E,Group E,Group D,Group C,Group B,Group A (Gr. 12),Group F,Group E
07/03/2023 14:20:45,roland@gmail.com,Roland Lewin,131382691,12,Group B,Group A (Gr. 12),Group E,Group C,Group D,Group D,Group E,Group C,Group F,Group C,Group A (Gr. 12),Group D
07/03/2023 14:20:45,becky@gmail.com,Becky Franco,169249377,12,Group E,Group D,Group B,Group C,Group E,Group E,Group A (Gr. 12),Group C,Group E,Group B,Group C,Group F
07/03/2023 14:20:45,tony@gmail.com,Tony Goodrich,988365337,12,Group F,Group E,Group D,Group B,Group B,Group B,Group D,Group F,Group E,Group B,Group A (Gr. 12),Group C
07/03/2023 14:20:45,mary@gmail.com,Mary Fawver,617069317,12,Group D,Group A (Gr. 12),Group E,Group B,Group D,Group D,Group E,Group F,Group D,Group B,Group E,Group F
07/03/2023 14:20:45,kendall@gmail.com,Kendall Hill,983874127,12,Group F,Group E,Group B,Group A (Gr. 12),Group D,Group D,Group B,Group A (Gr. 12),Group C,Group A (Gr. 12),Group F,Group D
07/03/2023 14:20:45,rhonda@gmail.com,Rhonda Cohen,806573607,12,Group F,Group A (Gr. 12),Group D,Group B,Group E,Group E,Group A (Gr. 12),Group D,Group E,Group C,Group B,Group A (Gr. 12)
07/03/2023 14:20:45,mary@gmail.com,Mary Nelson,895223431,12,Group D,Group E,Group B,Group C,Group F,Group F,Group E,Group B,Group C,Group A (Gr. 12),Group D,Group B
07/03/2023 14:20:45,willie@gmail.com,Willie Bivins,328989268,12,Group A (Gr. 12),Group F,Group D,Group E,Group F,Group F,Group D,Group C,Group F,Group B,Group E,Group C
07/03/2023 14:20:45,micheal@gmail.com,Micheal Colon,620289712,12,Group F,Group D,Group B,Group C,Group A (Gr. 12),Group A (Gr. 12),Group E,Group F,Group F,Group E,Group A (Gr. 12),Group D
07/03/2023 14:20:45,jillian@gmail.com,Jillian Machuca,442695263,12,Group E,Group C,Group A (Gr. 12),Group F,Group F,Group F,Group D,Group E,Group D,Group B,Group C,Group E
07/03/2023 14:20:45,matthew@gmail.com,Matthew Cox,832195638,12,Group B,Group E,Group D,Group F,Group E,Group E,Group A (Gr. 12),Group D,Group F,Group E,Group C,Group A (Gr. 12)
07/03/2023 14:20:45,michael@gmail.com,Michael Baker,651057816,12,Group A (Gr. 12),Group E,Group F,Group B,Group F,Group F,Group C,Group A (Gr. 12),Group F,Group C,Group D,Group B
07/03/2023 14:20:45,lincoln@gmail.com,Lincoln Noble,885894808,12,Group D,Group A (Gr. 12),Group C,Group E,Group E,Group E,Group C,Group F,Group B,Group F,Group D,Group C
07/03/2023 14:20:45,tara@gmail.com,Tara Askew,924875991,12,Group B,Group C,Group F,Group D,Group F,Group F,Group E,Group B,Group F,Group B,Group C,Group A (Gr. 12)
07/03/2023 14:20:45,jeffery@gmail.com,Jeffery Cooper,365765069,12,Group A (Gr. 12),Group B,Group D,Group C,Group C,Group C,Group E,Group A (Gr. 12),Group C,Group D,Group F,Group A (Gr. 12)
07/03/2023 14:20:45,karen@gmail.com,Karen Herrera,496490635,12,Group F,Group D,Group C,Group B,Group F,Group F,Group C,Group B,Group C,Group D,Group E,Group F
07/03/2023 14:20:45,marlene@gmail.com,Marlene Alger,889144059,12,Group A (Gr. 12),Group B,Group E,Group F,Group C,Group C,Group F,Group D,Group A (Gr. 12),Group E,Group D,Group B
07/03/2023 14:20:45,angie@gmail.com,Angie Valdovinos,944139981,12,Group F,Group A (Gr. 12),Group C,Group D,Group D,Group D,Group B,Group C,Group C,Group E,Group A (Gr. 12),Group B
07/03/2023 14:20:45,kathy@gmail.com,Kathy Frey,985272224,12,Group B,Group E,Group D,Group C,Group C,Group C,Group A (Gr. 12),Group E,Group C,Group E,Group A (Gr. 12),Group D
07/03/2023 14:20:45,paul@gmail.com,Paul Tsasie,223821389,12,Group F,Group A (Gr. 12),Group C,Group B,Group A (Gr. 12),Group A (Gr. 12),Group F,Group E,Group A (Gr. 12),Group B,Group F,Group D
07/03/2023 14:20:45,teresa@gmail.com,Teresa Roberto,356170015,12,Group C,Group D,Group A (Gr. 12),Group E,Group E,Group E,Group B,Group D,Group E,Group A (Gr. 12),Group F,Group D
07/03/2023 14:20:45,nadine@gmail.com,Nadine Kelly,215936526,12,Group A (Gr. 12),Group F,Group E,Group C,Group F,Group F,Group E,Group A (Gr. 12),Group D,Group B,Group E,Group F
07/03/2023 14:20:45,anderson@gmail.com,Anderson Bratcher,990176346,12,Group D,Group F,Group B,Group C,Group F,Group F,Group A (Gr. 12),Group B,Group A (Gr. 12),Group B,Group D,Group C
07/03/2023 14:20:45,larry@gmail.com,Larry Williams,378992652,12,Group F,Group B,Group A (Gr. 12),Group C,Group D,Group D,Group E,Group B,Group B,Group C,Group E,Group A (Gr. 12)
07/03/2023 14:20:45,bradford@gmail.com,Bradford Wallace,403054263,12,Group A (Gr. 12),Group B,Group D,Group C,Group E,Group E,Group B,Group A (Gr. 12),Group D,Group E,Group A (Gr. 12),Group F
07/03/2023 14:20:45,olivia@gmail.com,Olivia Haddix,773801148,12,Group C,Group B,Group E,Group D,Group B,Group B,Group C,Group D,Group C,Group F,Group B,Group D
07/03/2023 14:20:45,joyce@gmail.com,Joyce Mcmorris,623437487,12,Group E,Group A (Gr. 12),Group B,Group F,Group C,Group C,Group F,Group D,Group A (Gr. 12),Group C,Group D,Group B
