name,id,Term 1,Term 2,Term 3
Barry Sigmon,150830825,Group F,Group F,Group D
Basil Ashland,793051842,Group D,Group A (Gr. 12),Group C
Becki Gonzalez,903165946,Group A (Gr. 12),Group E,Group D
Becky Franco,169249377,Group E,Group E,Group E
Belva Harvey,462371908,Group C,Group D,Group B
Benjamin Beardsley,203005643,Group C,Group D,Group B
Benjamin Etienne,683496780,Group A (Gr. 12),Group A (Gr. 12),Group A (Gr. 12)
Benjamin Foreman,848281007,Group D,Group A (Gr. 12),Group E
Bennie Lee,696322039,Group A (Gr. 12),Group F,Group A (Gr. 12)
Bernice Robinson,545247417,Group D,Group F,Group E
Bernita Mccandless,379391255,Group F,Group F,Group B
Bertha West,172329134,Group E,Group A (Gr. 12),Group D
Bertie Bustad,126886566,Group C,Group D,Group A (Gr. 12)
Betty Blake,517840410,Group B,Group B,Group B
Betty Evans,940479487,Group A (Gr. 12),Group C,Group C
Betty Morales,751957845,Group C,Group B,Group B
Betty Peel,522393352,Group D,Group C,Group B
Betty Singletary,221499600,Group D,Group D,Group B
Betty Stensrud,280397692,Group C,Group E,Group E
Betty Stokes,617231067,Group D,Group B,Group D
Beverly Barry,902617725,Group D,Group A (Gr. 12),Group E
Beverly Cohen,879186487,Group D,Group E,Group D
Beverly Scott,952711214,Group D,Group B,Group E
Beverly Slaughter,709365849,Group E,Group E,Group A (Gr. 12)
Beverly Tisdale,388931453,Group D,Group D,Group B
Billie Rogers,882488170,Group C,Group F,Group F
Billy Brooks,347072530,Group E,Group F,Group C
Billy Brown,849698123,Group F,Group B,Group E
Billy Lobato,901519850,Group C,Group D,Group B
Billy Mena,323126760,Group A (Gr. 12),Group B,Group F
Billy Miranda,218326071,Group D,Group A (Gr. 12),Group D
Blaine Copeland,203670291,Group D,Group A (Gr. 12),Group D
Blanca Etheridge,238287803,Group F,Group B,Group C
Blanche Bridgette,733657755,Group F,Group D,Group D
Blanche Numbers,338005346,Group D,Group C,Group A (Gr. 12)
Bobbi Guzman,468702237,Group E,Group C,Group F
Bobbi Terry,686320805,Group B,Group D,Group C
Bobbie Raxter,932709052,Group B,Group A (Gr. 12),Group E
Bobby Mayes,524623530,Group E,Group A (Gr. 12),Group E
Bradford Wallace,403054263,Group A (Gr. 12),Group E,Group D
Brain Neely,424600623,Group B,Group C,Group A (Gr. 12)
Brandi Chrisco,279022747,Group E,Group B,Group A (Gr. 12)
Brandon Derego,367774759,Group A (Gr. 12),Group E,Group E
Brandon Fabbri,565774987,Group F,Group C,Group A (Gr. 12)
Brandy Rogers,289254120,Group E,Group A (Gr. 12),Group B
Brant Henry,152426414,Group E,Group A (Gr. 12),Group A (Gr. 12)
Breana Luckow,425753405,Group A (Gr. 12),Group B,Group E
Brenda Doney,420003803,Group D,Group B,Group C
Brenda Hayes,939905249,Group E,Group D,Group E
Brenda Morris,451367293,Group A (Gr. 12),Group A (Gr. 12),Group C
Brenda Stringer,270240962,Group B,Group B,Group B
Brent Clark,754000948,Group B,Group E,Group F
Brett Sekel,591404909,Group A (Gr. 12),Group B,Group E
Brian Adams,236900369,Group A (Gr. 12),Group B,Group D
Brian Bohlen,523253662,Group E,Group E,Group B
Brian Brandon,546165077,Group D,Group C,Group B
Brian Chapman,170548778,Group F,Group F,Group F
Brian Lewis,812286242,Group F,Group D,Group A (Gr. 12)
Brian Luck,709044910,Group E,Group E,Group F
Brian Mays,977528767,Group C,Group C,Group E
Brian Mullins,186077252,Group C,Group D,Group B
Brian Starling,184968429,Group B,Group A (Gr. 12),Group F
Brian Thompson,201397873,Group D,Group E,Group A (Gr. 12)
Bruce Brumley,250497018,Group C,Group B,Group E
Bruce Morrell,924007483,Group A (Gr. 12),Group A (Gr. 12),Group C
Bruce Patz,919881272,Group B,Group F,Group A (Gr. 12)
Bruce Son,211010100,Group E,Group C,Group D
Bruce Spangler,401761382,Group B,Group C,Group B
Bruce Speed,901991463,Group A (Gr. 12),Group B,Group C
Bryce Leaver,367924027,Group B,Group F,Group D
Buck Atkins,771944185,Group C,Group B,Group D
Buena Gourd,619490026,Group A (Gr. 12),Group C,Group F
Caitlin Oneill,160262948,Group A (Gr. 12),Group C,Group C
Cameron Toliver,786345912,Group E,Group D,Group A (Gr. 12)
Candace Russo,947079316,Group B,Group C,Group B
Candi Campos,487577254,Group E,Group F,Group F
Carey Lawson,828292817,Group B,Group E,Group D
Carissa Williams,400843872,Group C,Group A (Gr. 12),Group C
Carla Solis,826755336,Group F,Group D,Group D
Carlos Emerson,244840428,Group D,Group E,Group F
Carlos Jones,548117779,Group D,Group E,Group C
Carlos Svec,241371835,Group C,Group B,Group B
Carlton Mcpherson,455387020,Group F,Group D,Group D
Carly West,380941875,Group C,Group D,Group D
Carmen Foy,383896556,Group F,Group A (Gr. 12),Group D
Carmen Hernandez,322425613,Group C,Group F,Group E
Carmen Huss,222418287,Group C,Group E,Group B
Carmen Wolfe,533464578,Group B,Group D,Group C
Carol Guild,403550267,Group B,Group D,Group E
Carol Hickel,343552422,Group B,Group F,Group B
Carol Lavertue,983889853,Group A (Gr. 12),Group C,Group A (Gr. 12)
Carol Picciano,261767385,Group E,Group D,Group F
Carol Rose,197895929,Group E,Group E,Group A (Gr. 12)
Carol Telford,449320338,Group E,Group B,Group D
Carola Escobedo,837238820,Group A (Gr. 12),Group B,Group C
Carolyn Brown,857102971,Group A (Gr. 12),Group C,Group E
Carolyn Chalifour,805326601,Group E,Group C,Group A (Gr. 12)
Carolyn Eanes,900772697,Group F,Group E,Group B
Carolyn Lewis,266427503,Group E,Group F,Group A (Gr. 12)
Carolyn Ross,216130059,Group D,Group F,Group D
Carrie Power,126344626,Group C,Group B,Group F
Carrie Stoll,611521982,Group E,Group D,Group E
Carrol Franklin,547246548,Group D,Group C,Group B
Cassandra Edwards,310515562,Group B,Group B,Group A (Gr. 12)
Catherine Clopton,300169358,Group E,Group C,Group A (Gr. 12)
Catherine Gallaway,470111054,Group B,Group A (Gr. 12),Group B
Catherine Lane,554351875,Group D,Group E,Group F
Catherine Mccay,817247020,Group D,Group A (Gr. 12),Group A (Gr. 12)
Catherine Mrowka,469844422,Group E,Group D,Group C
Cathryn Ash,610763094,Group A (Gr. 12),Group A (Gr. 12),Group C
Cathy Quinones,753679533,Group E,Group F,Group E
Cecilia Nason,175573794,Group B,Group C,Group E
Celestina Blake,751718509,Group D,Group D,Group B
Celia Kramer,320631442,Group C,Group A (Gr. 12),Group D
Celia Royal,876160802,Group E,Group D,Group D
Celia Woodson,441041062,Group C,Group F,Group A (Gr. 12)
Chad Estabrook,962709030,Group F,Group B,Group C
Chad Jankowiak,663274061,Group B,Group B,Group E
Charles Bakley,144012284,Group D,Group B,Group F
Charles Bergman,271210376,Group D,Group F,Group C
Charles Bose,634946376,Group F,Group E,Group E
Charles Davis,960635584,Group F,Group B,Group D
Charles Dawson,931971014,Group B,Group E,Group D
Charles Downs,822562920,Group C,Group E,Group C
Charles Ellison,640706734,Group F,Group F,Group C
Charles Hoch,776957334,Group C,Group F,Group A (Gr. 12)
Charles Hollister,394373290,Group A (Gr. 12),Group C,Group D
Charles Hunter,648339958,Group F,Group C,Group C
Charles Kozlowski,682962141,Group E,Group B,Group D
Charles Matuszewski,950339295,Group C,Group F,Group D
Charles Moore,479126519,Group F,Group D,Group A (Gr. 12)
Charles Nasers,546529076,Group C,Group F,Group A (Gr. 12)
Charles Nelson,324906669,Group D,Group D,Group C
Charles Reyes,821237133,Group C,Group A (Gr. 12),Group E
Charles Salter,959638463,Group B,Group F,Group F
Charles Sanders,218177761,Group A (Gr. 12),Group A (Gr. 12),Group E
Charles Schwarz,643982797,Group B,Group E,Group D
Charles Scott,861549400,Group F,Group B,Group A (Gr. 12)
Charles Tribble,100996505,Group B,Group E,Group C
Charles Woods,559659975,Group E,Group A (Gr. 12),Group A (Gr. 12)
Charley Fortune,531809969,Group B,Group F,Group B
Charlotte Castillo,900387958,Group C,Group D,Group A (Gr. 12)
Charlotte Moore,621680019,Group D,Group A (Gr. 12),Group E
Chelsea Green,880561611,Group C,Group C,Group F
Cherie Waite,536447731,Group E,Group A (Gr. 12),Group F
Cheryl Myles,203970164,Group D,Group E,Group D
Chester Oshey,820956816,Group B,Group D,Group E
Chester Smith,204415749,Group B,Group D,Group F
Chris Anderson,612146785,Group E,Group E,Group D
Chris Bingman,312922855,Group A (Gr. 12),Group E,Group E
Chris Cottrell,357882351,Group A (Gr. 12),Group A (Gr. 12),Group C
Chris Gionet,365326863,Group F,Group C,Group E
Chris Ladd,527406531,Group F,Group E,Group F
Chris Riggins,683349973,Group D,Group F,Group C
Christina Lynch,912196797,Group A (Gr. 12),Group F,Group D
Christina Syrett,844061798,Group D,Group F,Group B
Christina Tracy,885978944,Group D,Group B,Group D
Christine Flens,290703812,Group B,Group B,Group E
Christine Kopacz,876973252,Group F,Group D,Group A (Gr. 12)
Christine Lawley,963816291,Group C,Group C,Group A (Gr. 12)
Christine Olberding,567345126,Group D,Group D,Group E
Christine Palmer,122876719,Group E,Group A (Gr. 12),Group A (Gr. 12)
Christine Randazzo,501204891,Group F,Group B,Group C
Christopher Beverly,813942192,Group E,Group F,Group B
Christopher Douglas,787731168,Group C,Group B,Group B
Christopher Foster,242795303,Group C,Group C,Group A (Gr. 12)
Christopher Gray,204813185,Group C,Group B,Group A (Gr. 12)
Christopher Greenwood,556512622,Group E,Group D,Group D
Christopher Halsey,476098374,Group A (Gr. 12),Group D,Group F
Christopher Howell,460681467,Group B,Group B,Group E
Christopher Robinson,802733130,Group C,Group C,Group F
Christopher Rodibaugh,621456341,Group A (Gr. 12),Group E,Group A (Gr. 12)
Christopher Rodriguez,863310530,Group D,Group F,Group C
Christopher Tabb,700365585,Group C,Group A (Gr. 12),Group B
Christopher Tijerina,639125232,Group E,Group F,Group D
Christopher Vanschaick,349471604,Group A (Gr. 12),Group D,Group D
Claire Oliver,143189151,Group F,Group F,Group C
Clara Capron,240035702,Group B,Group D,Group B
Clara Pennebaker,913388056,Group D,Group A (Gr. 12),Group F
Clarence Diamond,916149092,Group B,Group D,Group E
Claudia Ruiz,174982310,Group E,Group E,Group B
Claudia Weber,970913670,Group C,Group C,Group C
Claudine Higgins,315650636,Group C,Group C,Group B
Claudio Ransom,221333091,Group A (Gr. 12),Group C,Group A (Gr. 12)
Clifford Mendoza,753621453,Group C,Group E,Group C
Clyde Higgins,507688204,Group B,Group F,Group B
Clyde Rice,208075569,Group A (Gr. 12),Group A (Gr. 12),Group F
Cody Bates,911152997,Group E,Group F,Group C
Cole Gregg,591124580,Group C,Group E,Group B
Colin Delarosa,568352030,Group B,Group E,Group A (Gr. 12)
Colin Sinstack,979522678,Group F,Group F,Group F
Colin Torres,321802717,Group C,Group A (Gr. 12),Group C
Colleen Beaupre,652485537,Group C,Group B,Group E
Colleen Bottoms,601645546,Group B,Group B,Group C
Colleen Hall,201464138,Group A (Gr. 12),Group D,Group A (Gr. 12)
Colleen Orefice,209603429,Group A (Gr. 12),Group C,Group A (Gr. 12)
Connie Baylor,384770424,Group B,Group B,Group A (Gr. 12)
Connie Hartsell,914094410,Group F,Group D,Group F
Corey Childs,458738434,Group F,Group F,Group F
Corey Drake,712231132,Group C,Group D,Group B
Corey Pitts,902518782,Group A (Gr. 12),Group F,Group F
Corina Watson,663583557,Group E,Group E,Group E
Cory Cherry,716068117,Group A (Gr. 12),Group D,Group E
Cory Flinchum,211120866,Group A (Gr. 12),Group D,Group E
Courtney Archer,996501132,Group D,Group C,Group A (Gr. 12)
Craig Anna,194770870,Group A (Gr. 12),Group F,Group D
Craig Harris,568968867,Group D,Group B,Group B
Craig Macdonald,963465239,Group D,Group D,Group C
Crystal Delisle,439787273,Group F,Group E,Group E
Crystal Ortiz,510876850,Group A (Gr. 12),Group B,Group C
Curtis Charles,495195655,Group B,Group F,Group D
Curtis Lara,308529160,Group D,Group E,Group A (Gr. 12)
Cynthia Allen,146962914,Group B,Group A (Gr. 12),Group E
Cynthia Andino,549308246,Group F,Group E,Group C
Cynthia Barker,807095316,Group C,Group B,Group F
Cynthia Crain,408123616,Group F,Group A (Gr. 12),Group F
Cynthia Hernandez,677710780,Group D,Group A (Gr. 12),Group A (Gr. 12)
Cynthia Holguin,760677258,Group E,Group E,Group B
Cynthia Lyles,893181155,Group E,Group F,Group E
Cynthia Mcswain,618442398,Group D,Group F,Group F
Cynthia Myrick,394846136,Group E,Group C,Group D
Cynthia Snowden,373571189,Group F,Group B,Group E
Cynthia Thomas,492529705,Group A (Gr. 12),Group D,Group B
Cynthia Wickham,207924657,Group C,Group F,Group A (Gr. 12)
Cyril Cobb,234664210,Group C,Group A (Gr. 12),Group E
Cythia Siemens,446017925,Group E,Group A (Gr. 12),Group B
Daisy Springfield,441012714,Group F,Group F,Group A (Gr. 12)
Dale Johnson,137935760,Group A (Gr. 12),Group B,Group A (Gr. 12)
Dale Waite,433044260,Group F,Group D,Group E
Dallas Jones,998544775,Group B,Group C,Group E
Dallas Pruett,718360355,Group F,Group D,Group B
Damien Middleton,700131998,Group F,Group D,Group D
Dan Creamer,611435032,Group E,Group A (Gr. 12),Group C
Dana Middleton,413427917,Group A (Gr. 12),Group D,Group C
Dana Thompson,487266960,Group D,Group F,Group D
Dana Werner,209512449,Group F,Group D,Group D
Daniel Burdick,911882764,Group A (Gr. 12),Group D,Group F
Daniel Derrigo,786258828,Group F,Group E,Group E
Daniel Farnam,836473282,Group E,Group D,Group E
Daniel Lint,242312567,Group F,Group B,Group E
Daniel Oconnor,541154089,Group C,Group D,Group C
Daniel Parrott,498689028,Group D,Group E,Group C
Daniel Richardson,539464170,Group A (Gr. 12),Group E,Group F
Daniel Tilford,280422930,Group E,Group F,Group F
Daniel Tintinger,520367566,Group F,Group D,Group B
Daniel Weston,175412388,Group C,Group C,Group B
Danielle Calvillo,812121600,Group F,Group F,Group D
Danilo Dardis,825846139,Group B,Group E,Group A (Gr. 12)
Danny Haugen,455325334,Group D,Group A (Gr. 12),Group D
Danny Shabazz,176742776,Group B,Group F,Group B
Danny Weaver,995043142,Group A (Gr. 12),Group D,Group A (Gr. 12)
Darla Mcdonald,954070019,Group A (Gr. 12),Group C,Group A (Gr. 12)
Darlene Thomas,387257578,Group B,Group D,Group E
Darryl Anderson,935403966,Group D,Group E,Group D
Darryl Horr,756140075,Group D,Group B,Group A (Gr. 12)
Daryl Hayes,674457874,Group F,Group A (Gr. 12),Group C
Daryl Jackson,500081677,Group A (Gr. 12),Group D,Group F
Dave Jesse,555404053,Group D,Group D,Group C
David Berkowitz,848548877,Group B,Group E,Group C
David Brewer,990910720,Group A (Gr. 12),Group D,Group A (Gr. 12)
David Dohrman,111671415,Group D,Group A (Gr. 12),Group E
David Durham,279633968,Group B,Group C,Group E
David Garner,261319234,Group D,Group C,Group C
David Guzman,869008281,Group C,Group A (Gr. 12),Group F
David Henderson,981672119,Group A (Gr. 12),Group F,Group F
David Hoffman,697856868,Group D,Group C,Group A (Gr. 12)
David Johnson,595403022,Group C,Group C,Group F
David Jones,932998307,Group E,Group A (Gr. 12),Group C
David Kloepper,901245046,Group E,Group C,Group C
David Lane,796477206,Group E,Group C,Group E
David Maxwell,279461906,Group D,Group A (Gr. 12),Group F
David Mote,485244447,Group B,Group B,Group A (Gr. 12)
David Mozak,387849554,Group F,Group E,Group F
David Orem,555198078,Group E,Group E,Group B
David Ross,195946011,Group E,Group E,Group F
David Simon,915045260,Group A (Gr. 12),Group C,Group D
David Smith,415491837,Group E,Group B,Group A (Gr. 12)
David Smith,467611465,Group E,Group D,Group C
David Taylor,958175799,Group E,Group D,Group D
David Wolf,573091672,Group C,Group C,Group E
Dawn Guy,551339782,Group A (Gr. 12),Group E,Group A (Gr. 12)
Dean Brownie,963793587,Group F,Group D,Group E
Dean Custer,459992685,Group C,Group D,Group D
Dean White,341112602,Group E,Group A (Gr. 12),Group A (Gr. 12)
Deanne Goodridge,902746010,Group A (Gr. 12),Group A (Gr. 12),Group B
Debbie Dittman,169348483,Group E,Group D,Group D
Debbie Meese,123772982,Group E,Group F,Group F
Debbie Phillips,951994845,Group E,Group A (Gr. 12),Group E
Debbie Podmore,769604211,Group B,Group D,Group F
Debbie Smith,852852453,Group F,Group F,Group A (Gr. 12)
Deborah Sanchez,995715238,Group D,Group A (Gr. 12),Group E
Deborah Steele,702955346,Group B,Group A (Gr. 12),Group B
Debra Duckett,339124059,Group D,Group F,Group F
Debra Lotz,949382875,Group E,Group A (Gr. 12),Group A (Gr. 12)
Debra Tilley,626345963,Group B,Group D,Group A (Gr. 12)
Debra Ward,781496214,Group C,Group A (Gr. 12),Group B
Della Green,805888374,Group D,Group E,Group B
Della Lefevre,137963659,Group D,Group B,Group B
Delores Baez,901511093,Group B,Group A (Gr. 12),Group F
Dena German,544571139,Group D,Group F,Group A (Gr. 12)
Denise Allen,943899444,Group E,Group C,Group A (Gr. 12)
Denise Anderson,288311384,Group B,Group F,Group E
Denise Miller,497613786,Group E,Group F,Group B
Denise Wingham,456206112,Group C,Group E,Group E
Dennis Minter,403934529,Group C,Group A (Gr. 12),Group A (Gr. 12)
Dennis Montalvo,507491530,Group A (Gr. 12),Group F,Group E
Dennis Stephenson,284441907,Group D,Group C,Group C
Derrick Hedges,619610063,Group A (Gr. 12),Group C,Group F
Desmond Mallette,966774213,Group C,Group B,Group B
Dexter Harris,544933491,Group C,Group F,Group D
Diana Chambers,190052109,Group C,Group A (Gr. 12),Group D
Diana Contreras,915688021,Group D,Group F,Group E
Diana Mckenzie,337700140,Group C,Group D,Group D
Diane Torres,199536259,Group A (Gr. 12),Group A (Gr. 12),Group D
Dixie Ruhl,405490914,Group E,Group D,Group E
Dolores Howard,851424637,Group D,Group A (Gr. 12),Group B
Dominique Newland,415609896,Group E,Group B,Group B
Don Andrews,945108967,Group E,Group D,Group D
Don Franklin,403771917,Group A (Gr. 12),Group F,Group E
Don Gregory,829581985,Group F,Group B,Group A (Gr. 12)
Don Mattos,623900422,Group D,Group E,Group F
Donald Bonds,282307407,Group F,Group E,Group E
Donald Fisher,503865641,Group F,Group B,Group D
Donald Morrison,606266342,Group E,Group E,Group D
Donald Owens,942925945,Group F,Group E,Group A (Gr. 12)
Donald Remiszewski,986309285,Group A (Gr. 12),Group A (Gr. 12),Group B
Donald Richardson,983183548,Group B,Group B,Group E
Donald Yeater,377514938,Group F,Group C,Group B
Donn Rogers,669323189,Group D,Group F,Group E
Donna Dailey,252141923,Group F,Group C,Group B
Donna Kennedy,427433166,Group E,Group F,Group C
Donna Lichtenstein,307086078,Group B,Group B,Group E
Donna Lillie,197699678,Group C,Group E,Group D
Donna Michaud,988365564,Group F,Group F,Group C
Donna Parsons,452787295,Group A (Gr. 12),Group A (Gr. 12),Group B
Donna Thorpe,902283997,Group F,Group C,Group C
Donna Warnack,652376903,Group A (Gr. 12),Group D,Group D
Donnie Powers,989792400,Group E,Group A (Gr. 12),Group D
Donovan Smith,118404780,Group A (Gr. 12),Group A (Gr. 12),Group B
Dora Addleman,692901854,Group D,Group E,Group F
Dora Burgess,348950165,Group F,Group F,Group A (Gr. 12)
Dorothea Pane,681434072,Group B,Group B,Group E
Dorothy Askins,971692369,Group D,Group D,Group B
Dorothy Chappell,366392590,Group D,Group F,Group E
Dorothy Cowan,972511620,Group C,Group A (Gr. 12),Group C
Dorothy Nevarez,949327181,Group D,Group F,Group D
Dorothy Whitmore,104366118,Group C,Group D,Group E
Dorothy Willie,431320504,Group F,Group E,Group D
Dorothy Wilson,289053449,Group B,Group F,Group F
Douglas Kagan,582347424,Group A (Gr. 12),Group E,Group E
Douglas Matteucci,587461636,Group D,Group B,Group A (Gr. 12)
Douglas Pollard,645656890,Group E,Group B,Group B
Douglas Sherman,409873468,Group A (Gr. 12),Group E,Group E
Douglas Young,594571787,Group D,Group C,Group C
Dwight Moore,496507778,Group E,Group B,Group D
Earl Busse,996511207,Group E,Group D,Group E
Earl Grover,698295486,Group E,Group C,Group F
Eddie Vossen,506996141,Group B,Group E,Group E
Edgar Lawson,223633894,Group E,Group D,Group A (Gr. 12)
Edith Anderson,831378064,Group C,Group B,Group D
Edna Dunn,895904828,Group B,Group E,Group E
Edna Fraser,241797460,Group A (Gr. 12),Group B,Group C
